evaluations raw_y
1 2.0000000000
34 2.0798668885
332 2.1367521368
479 2.2935779817
833 2.5987525988
2503 2.6881720430
5000 1.3116474292
evaluations raw_y
1 0.7692307692
2 1.4723203769
3 1.5299877601
38 1.6600265604
63 1.7730496454
90 1.8355359765
97 1.9025875190
188 2.3992322457
318 2.9411764706
5000 1.1150758252
evaluations raw_y
1 1.3227513228
18 1.6600265604
20 1.7730496454
54 2.1079258010
646 2.2281639929
801 2.3992322457
1290 2.4752475248
2870 2.5562372188
5000 1.2690355330
evaluations raw_y
1 0.8771929825
3 1.2899896801
6 1.3455328310
14 1.5762925599
17 2.0798668885
94 2.2935779817
1205 2.8868360277
5000 1.0137875101
evaluations raw_y
1 1.2007684918
2 1.9747235387
101 2.0259319287
160 2.1079258010
309 2.2281639929
691 2.3629489603
2883 2.5987525988
5000 2.0000000000
evaluations raw_y
1 0.5022097228
2 1.2007684918
3 1.5006002401
22 1.7337031900
96 1.7531556802
148 2.2603978300
1352 2.4366471735
3516 2.5150905433
5000 1.1394712853
evaluations raw_y
1 0.8394895903
2 1.1563367253
4 1.6778523490
8 1.7337031900
24 1.7934002869
30 1.9500780031
170 2.2603978300
791 2.2935779817
1094 2.3992322457
2834 2.5562372188
5000 0.9758001561
evaluations raw_y
1 0.9130752374
4 1.0993843448
6 1.1916110582
7 1.2291052114
9 1.4863258026
18 1.5299877601
23 1.6254876463
31 1.6778523490
64 1.6960651289
78 1.7531556802
83 2.2603978300
713 2.3277467412
1695 2.3992322457
3906 2.4366471735
5000 0.5915759584
evaluations raw_y
1 1.3116474292
4 1.4188422247
6 2.0259319287
56 2.0525451560
158 2.1079258010
565 2.2281639929
730 2.6427061311
5000 1.6254876463
evaluations raw_y
1 1.7146776406
5 1.7934002869
68 1.8355359765
131 2.0798668885
168 2.1968365554
1083 2.2281639929
1293 2.2935779817
2630 2.4366471735
4656 2.4752475248
5000 1.0993843448
evaluations raw_y
1 1.0271158587
3 1.5605493134
7 1.9500780031
88 2.1367521368
230 2.2603978300
1493 2.3277467412
2398 2.4752475248
3547 2.5150905433
5000 0.6480041472
evaluations raw_y
1 1.4585764294
11 1.4723203769
18 1.6960651289
46 1.9260400616
91 2.0798668885
97 2.1663778163
207 2.2935779817
3426 2.4366471735
3539 2.4752475248
5000 1.0841283608
evaluations raw_y
1 1.0339123242
2 1.1312217195
7 1.2195121951
8 1.5151515152
17 1.5451174289
29 1.6425755585
71 1.7531556802
99 2.0259319287
170 2.6881720430
5000 1.1394712853
evaluations raw_y
1 0.6731287022
2 0.8821453776
4 1.4450867052
5 1.4723203769
7 1.7146776406
60 1.7730496454
160 1.8142235123
260 1.9025875190
308 2.1367521368
818 2.2935779817
996 2.5987525988
5000 1.1230907457
evaluations raw_y
1 0.8007687380
3 1.2690355330
5 1.6600265604
11 2.0000000000
14 2.0259319287
57 2.0798668885
287 2.1663778163
779 2.5150905433
959 2.8344671202
5000 1.1230907457
evaluations raw_y
1 1.3340448239
4 1.8573551263
25 2.4752475248
106 2.5150905433
701 3.2467532468
5000 0.9462528388
evaluations raw_y
1 1.3340448239
5 1.3691128149
7 1.4863258026
8 1.5923566879
12 1.6960651289
80 2.0798668885
118 2.1968365554
189 2.2603978300
248 2.2935779817
422 2.3629489603
478 2.7352297593
5000 0.6760411033
evaluations raw_y
1 1.5006002401
4 1.5762925599
12 1.6425755585
42 1.9025875190
79 1.9260400616
110 2.1079258010
210 2.3277467412
507 2.5987525988
1441 2.8344671202
4702 2.8868360277
5000 1.0008006405
evaluations raw_y
1 1.4318442153
17 1.4585764294
20 1.5151515152
34 1.5923566879
42 2.0000000000
202 2.1079258010
216 2.1968365554
608 2.7352297593
5000 0.7507507508
evaluations raw_y
1 0.8350033400
3 1.5151515152
31 1.8573551263
50 2.0259319287
113 2.0525451560
292 2.0798668885
384 2.7352297593
2676 2.9976019185
5000 1.6087516088
