evaluations raw_y
1 -369.0000000000
2 -335.0000000000
8 -302.0000000000
10 -275.0000000000
45 -228.0000000000
105 -221.0000000000
111 -214.0000000000
194 -201.0000000000
214 -141.0000000000
415 -115.0000000000
5000 -396.0000000000
evaluations raw_y
1 -302.0000000000
9 -288.0000000000
14 -255.0000000000
83 -242.0000000000
99 -201.0000000000
231 -181.0000000000
483 -167.0000000000
1345 -161.0000000000
5000 -450.0000000000
evaluations raw_y
1 -491.0000000000
2 -443.0000000000
3 -403.0000000000
4 -396.0000000000
5 -328.0000000000
8 -322.0000000000
12 -268.0000000000
58 -241.0000000000
59 -221.0000000000
60 -188.0000000000
217 -181.0000000000
227 -175.0000000000
238 -134.0000000000
301 -127.0000000000
5000 -463.0000000000
evaluations raw_y
1 -490.0000000000
2 -436.0000000000
3 -383.0000000000
5 -376.0000000000
8 -255.0000000000
79 -229.0000000000
80 -215.0000000000
89 -168.0000000000
289 -167.0000000000
5000 -376.0000000000
evaluations raw_y
1 -470.0000000000
2 -416.0000000000
4 -389.0000000000
9 -275.0000000000
25 -208.0000000000
111 -201.0000000000
129 -195.0000000000
284 -181.0000000000
468 -148.0000000000
5000 -544.0000000000
evaluations raw_y
1 -301.0000000000
2 -281.0000000000
6 -268.0000000000
27 -167.0000000000
1167 -162.0000000000
5000 -517.0000000000
evaluations raw_y
1 -537.0000000000
2 -510.0000000000
3 -322.0000000000
14 -315.0000000000
24 -235.0000000000
39 -229.0000000000
115 -221.0000000000
190 -207.0000000000
246 -201.0000000000
401 -195.0000000000
600 -134.0000000000
5000 -376.0000000000
evaluations raw_y
1 -484.0000000000
4 -369.0000000000
10 -322.0000000000
16 -288.0000000000
23 -275.0000000000
29 -269.0000000000
49 -262.0000000000
182 -249.0000000000
185 -242.0000000000
191 -228.0000000000
258 -221.0000000000
309 -209.0000000000
312 -181.0000000000
471 -141.0000000000
1466 -115.0000000000
5000 -490.0000000000
evaluations raw_y
1 -403.0000000000
9 -342.0000000000
15 -302.0000000000
18 -301.0000000000
19 -236.0000000000
52 -221.0000000000
303 -188.0000000000
485 -154.0000000000
1052 -147.0000000000
5000 -443.0000000000
evaluations raw_y
1 -443.0000000000
2 -416.0000000000
5 -369.0000000000
10 -362.0000000000
11 -322.0000000000
17 -315.0000000000
23 -269.0000000000
47 -182.0000000000
155 -161.0000000000
821 -141.0000000000
5000 -362.0000000000
evaluations raw_y
1 -302.0000000000
9 -289.0000000000
12 -181.0000000000
30 -155.0000000000
773 -154.0000000000
5000 -524.0000000000
evaluations raw_y
1 -396.0000000000
3 -376.0000000000
7 -342.0000000000
8 -275.0000000000
15 -248.0000000000
66 -235.0000000000
82 -214.0000000000
190 -174.0000000000
611 -147.0000000000
5000 -463.0000000000
evaluations raw_y
1 -450.0000000000
2 -436.0000000000
6 -349.0000000000
9 -249.0000000000
49 -228.0000000000
78 -208.0000000000
301 -188.0000000000
582 -181.0000000000
620 -174.0000000000
965 -140.0000000000
5000 -470.0000000000
evaluations raw_y
1 -389.0000000000
4 -221.0000000000
6 -214.0000000000
250 -154.0000000000
570 -147.0000000000
923 -95.0000000000
5000 -423.0000000000
evaluations raw_y
1 -409.0000000000
3 -315.0000000000
10 -275.0000000000
22 -261.0000000000
29 -255.0000000000
62 -201.0000000000
71 -175.0000000000
277 -156.0000000000
521 -147.0000000000
5000 -409.0000000000
evaluations raw_y
1 -544.0000000000
2 -470.0000000000
5 -423.0000000000
6 -308.0000000000
13 -302.0000000000
17 -295.0000000000
24 -288.0000000000
31 -269.0000000000
37 -268.0000000000
48 -255.0000000000
97 -235.0000000000
137 -228.0000000000
210 -221.0000000000
238 -201.0000000000
261 -188.0000000000
400 -187.0000000000
795 -127.0000000000
5000 -531.0000000000
evaluations raw_y
1 -423.0000000000
2 -382.0000000000
5 -376.0000000000
8 -315.0000000000
19 -288.0000000000
28 -275.0000000000
39 -235.0000000000
51 -195.0000000000
109 -161.0000000000
5000 -551.0000000000
evaluations raw_y
1 -598.0000000000
2 -342.0000000000
7 -329.0000000000
8 -289.0000000000
11 -168.0000000000
825 -141.0000000000
5000 -517.0000000000
evaluations raw_y
1 -436.0000000000
4 -363.0000000000
6 -288.0000000000
10 -268.0000000000
16 -234.0000000000
73 -215.0000000000
234 -201.0000000000
280 -194.0000000000
887 -181.0000000000
961 -168.0000000000
1085 -167.0000000000
1597 -140.0000000000
2270 -134.0000000000
5000 -517.0000000000
evaluations raw_y
1 -443.0000000000
2 -362.0000000000
10 -269.0000000000
11 -255.0000000000
30 -228.0000000000
119 -175.0000000000
175 -167.0000000000
1263 -161.0000000000
5000 -571.0000000000
