evaluations raw_y
1 0.7196315486
2 0.8871540099
5 1.0137875101
6 1.4723203769
29 1.9500780031
131 2.0798668885
630 2.2603978300
1109 2.5150905433
1933 2.8344671202
2258 3.0562347188
5020 1.1312217195
evaluations raw_y
1 1.4863258026
9 1.5451174289
17 1.9260400616
118 2.0525451560
501 2.3992322457
1377 2.9411764706
5020 1.1916110582
evaluations raw_y
1 1.5451174289
10 1.7934002869
85 1.8796992481
104 1.9500780031
143 2.3992322457
564 2.6427061311
4750 2.9411764706
5020 1.8573551263
evaluations raw_y
1 0.5893446488
2 0.8922198430
3 1.1649580615
7 1.5151515152
25 1.7730496454
35 2.0798668885
210 2.3992322457
1888 2.5987525988
5020 1.5762925599
evaluations raw_y
1 1.3935340022
7 1.5762925599
32 1.9025875190
200 2.1079258010
293 2.2603978300
1091 2.4366471735
2296 2.7352297593
5002 2.9411764706
5020 1.0072522160
evaluations raw_y
1 1.4318442153
5 1.5762925599
20 1.6778523490
22 2.0259319287
32 2.1968365554
126 2.2281639929
163 2.3277467412
1085 2.3629489603
1361 2.3992322457
1446 2.6427061311
2625 2.8344671202
5020 0.9349289454
evaluations raw_y
1 1.2690355330
3 1.3227513228
11 1.4060742407
15 1.6254876463
18 1.9025875190
62 2.0798668885
232 2.2281639929
703 2.3277467412
912 2.5150905433
3379 2.5987525988
4734 2.7839643653
5020 1.6254876463
evaluations raw_y
1 1.0407993339
2 1.5299877601
4 1.9747235387
49 2.0259319287
128 2.3992322457
1490 2.6881720430
5020 1.1916110582
evaluations raw_y
1 1.3812154696
12 1.4723203769
15 1.5923566879
78 1.8355359765
98 2.3629489603
612 2.6881720430
5020 1.0072522160
evaluations raw_y
1 0.8394895903
3 1.0841283608
5 1.3227513228
10 1.5605493134
26 1.8355359765
31 1.8796992481
54 2.0259319287
156 2.1367521368
405 2.1663778163
583 2.2935779817
743 2.4366471735
778 2.5150905433
3259 2.5987525988
5020 1.3227513228
