evaluations raw_y
1 -342.0000000000
6 -329.0000000000
11 -275.0000000000
48 -262.0000000000
60 -221.0000000000
200 -208.0000000000
217 -182.0000000000
254 -161.0000000000
287 -108.0000000000
401 -94.0000000000
411 -88.0000000000
482 -81.0000000000
527 -75.0000000000
530 -41.0000000000
848 -36.0000000000
872 -35.0000000000
901 -29.0000000000
939 -22.0000000000
1043 -9.0000000000
1425 -4.0000000000
1521 -3.0000000000
1593 -2.0000000000
1601 3.0000000000
2179 4.0000000000
2735 5.0000000000
5000 -95.0000000000
evaluations raw_y
1 -517.0000000000
2 -369.0000000000
3 -356.0000000000
4 -335.0000000000
7 -322.0000000000
10 -288.0000000000
11 -235.0000000000
13 -222.0000000000
103 -215.0000000000
113 -182.0000000000
136 -175.0000000000
174 -129.0000000000
229 -108.0000000000
360 -61.0000000000
517 -48.0000000000
781 -35.0000000000
826 -16.0000000000
989 -15.0000000000
1004 -10.0000000000
1365 4.0000000000
2723 5.0000000000
3620 6.0000000000
5000 -74.0000000000
