evaluations raw_y
1 -409.0000000000
2 -261.0000000000
9 -181.0000000000
96 -168.0000000000
133 -148.0000000000
139 -128.0000000000
146 -108.0000000000
216 -74.0000000000
240 -68.0000000000
271 -48.0000000000
311 -41.0000000000
382 -35.0000000000
397 -22.0000000000
492 -16.0000000000
511 -10.0000000000
516 -2.0000000000
610 3.0000000000
675 4.0000000000
1085 5.0000000000
1441 6.0000000000
4394 7.0000000000
5011 6.0000000000
evaluations raw_y
1 -578.0000000000
2 -436.0000000000
4 -295.0000000000
8 -268.0000000000
11 -255.0000000000
48 -234.0000000000
90 -188.0000000000
125 -181.0000000000
130 -134.0000000000
222 -128.0000000000
264 -102.0000000000
273 -81.0000000000
307 -62.0000000000
356 -42.0000000000
369 -22.0000000000
503 -16.0000000000
553 -15.0000000000
565 -9.0000000000
625 -8.0000000000
671 -2.0000000000
706 3.0000000000
811 4.0000000000
828 6.0000000000
1615 7.0000000000
5011 7.0000000000
evaluations raw_y
1 -241.0000000000
14 -215.0000000000
81 -148.0000000000
117 -142.0000000000
156 -134.0000000000
216 -81.0000000000
305 -68.0000000000
388 -55.0000000000
389 -49.0000000000
407 -48.0000000000
416 -30.0000000000
448 -15.0000000000
498 -9.0000000000
577 4.0000000000
928 5.0000000000
1690 6.0000000000
5011 -27.0000000000
evaluations raw_y
1 -450.0000000000
2 -282.0000000000
9 -241.0000000000
73 -208.0000000000
112 -181.0000000000
161 -154.0000000000
185 -127.0000000000
236 -114.0000000000
238 -75.0000000000
252 -67.0000000000
319 -42.0000000000
367 -22.0000000000
490 -16.0000000000
499 -15.0000000000
520 -3.0000000000
665 4.0000000000
983 5.0000000000
1544 6.0000000000
5011 -34.0000000000
evaluations raw_y
1 -282.0000000000
13 -268.0000000000
110 -235.0000000000
134 -221.0000000000
163 -201.0000000000
171 -181.0000000000
184 -168.0000000000
185 -134.0000000000
204 -101.0000000000
239 -41.0000000000
319 -35.0000000000
373 -28.0000000000
417 -22.0000000000
422 -21.0000000000
461 -16.0000000000
463 -15.0000000000
476 -3.0000000000
494 3.0000000000
543 4.0000000000
784 5.0000000000
1527 6.0000000000
5011 -21.0000000000
evaluations raw_y
1 -363.0000000000
10 -289.0000000000
19 -242.0000000000
83 -215.0000000000
90 -195.0000000000
100 -174.0000000000
126 -114.0000000000
235 -94.0000000000
254 -87.0000000000
301 -81.0000000000
333 -76.0000000000
361 -74.0000000000
378 -55.0000000000
396 -54.0000000000
419 -48.0000000000
441 -47.0000000000
453 -35.0000000000
473 -28.0000000000
552 -20.0000000000
555 -14.0000000000
615 -8.0000000000
690 -2.0000000000
751 -1.0000000000
860 6.0000000000
5011 6.0000000000
evaluations raw_y
1 -195.0000000000
99 -182.0000000000
120 -141.0000000000
180 -135.0000000000
185 -128.0000000000
232 -115.0000000000
239 -108.0000000000
244 -100.0000000000
249 -87.0000000000
259 -74.0000000000
266 -42.0000000000
300 -35.0000000000
384 -23.0000000000
440 -22.0000000000
451 -2.0000000000
591 3.0000000000
804 4.0000000000
1046 5.0000000000
1484 6.0000000000
5011 -13.0000000000
evaluations raw_y
1 -430.0000000000
3 -417.0000000000
4 -376.0000000000
7 -349.0000000000
19 -329.0000000000
23 -248.0000000000
102 -243.0000000000
108 -221.0000000000
126 -182.0000000000
145 -181.0000000000
164 -128.0000000000
228 -121.0000000000
280 -94.0000000000
316 -55.0000000000
389 -49.0000000000
418 -47.0000000000
478 -28.0000000000
501 -16.0000000000
672 -8.0000000000
746 1.0000000000
755 5.0000000000
1410 6.0000000000
5011 -47.0000000000
evaluations raw_y
1 -322.0000000000
2 -282.0000000000
5 -241.0000000000
42 -215.0000000000
54 -188.0000000000
113 -181.0000000000
136 -155.0000000000
153 -141.0000000000
217 -114.0000000000
227 -108.0000000000
235 -81.0000000000
256 -75.0000000000
260 -74.0000000000
268 -68.0000000000
320 -55.0000000000
347 -49.0000000000
356 -29.0000000000
379 -14.0000000000
416 -8.0000000000
467 -1.0000000000
485 5.0000000000
693 6.0000000000
5011 -27.0000000000
evaluations raw_y
1 -517.0000000000
2 -208.0000000000
60 -201.0000000000
88 -194.0000000000
115 -188.0000000000
128 -154.0000000000
130 -148.0000000000
184 -141.0000000000
212 -127.0000000000
227 -121.0000000000
257 -102.0000000000
266 -87.0000000000
289 -75.0000000000
319 -61.0000000000
350 -55.0000000000
374 -42.0000000000
419 -28.0000000000
430 -10.0000000000
508 -3.0000000000
572 -2.0000000000
576 3.0000000000
644 4.0000000000
818 5.0000000000
1415 6.0000000000
5011 5.0000000000
evaluations raw_y
1 -497.0000000000
2 -329.0000000000
7 -275.0000000000
65 -248.0000000000
70 -241.0000000000
90 -202.0000000000
118 -168.0000000000
156 -154.0000000000
159 -121.0000000000
187 -115.0000000000
205 -108.0000000000
259 -95.0000000000
271 -54.0000000000
286 -48.0000000000
389 -34.0000000000
398 -15.0000000000
426 -10.0000000000
564 -8.0000000000
584 -2.0000000000
591 4.0000000000
620 5.0000000000
671 6.0000000000
5011 6.0000000000
evaluations raw_y
1 -295.0000000000
9 -195.0000000000
59 -194.0000000000
99 -187.0000000000
112 -101.0000000000
181 -88.0000000000
195 -82.0000000000
199 -68.0000000000
202 -55.0000000000
259 -43.0000000000
300 -35.0000000000
385 -28.0000000000
451 -16.0000000000
494 -2.0000000000
567 2.0000000000
645 3.0000000000
808 4.0000000000
1094 5.0000000000
5011 5.0000000000
evaluations raw_y
1 -329.0000000000
2 -328.0000000000
3 -316.0000000000
7 -302.0000000000
16 -288.0000000000
24 -241.0000000000
64 -214.0000000000
107 -175.0000000000
136 -174.0000000000
149 -162.0000000000
165 -122.0000000000
171 -114.0000000000
216 -101.0000000000
233 -95.0000000000
259 -29.0000000000
321 -15.0000000000
420 -10.0000000000
476 -9.0000000000
511 -2.0000000000
592 5.0000000000
1768 6.0000000000
5011 -48.0000000000
evaluations raw_y
1 -349.0000000000
5 -329.0000000000
6 -301.0000000000
12 -261.0000000000
29 -248.0000000000
57 -195.0000000000
124 -181.0000000000
137 -175.0000000000
140 -161.0000000000
175 -147.0000000000
188 -121.0000000000
205 -114.0000000000
284 -88.0000000000
293 -74.0000000000
313 -62.0000000000
389 -34.0000000000
498 -30.0000000000
511 -29.0000000000
513 -23.0000000000
529 -22.0000000000
539 -15.0000000000
568 -3.0000000000
671 2.0000000000
742 3.0000000000
859 4.0000000000
1187 5.0000000000
2153 6.0000000000
5011 6.0000000000
evaluations raw_y
1 -356.0000000000
4 -315.0000000000
22 -288.0000000000
34 -228.0000000000
62 -194.0000000000
87 -161.0000000000
95 -101.0000000000
183 -100.0000000000
190 -88.0000000000
223 -87.0000000000
259 -54.0000000000
279 -28.0000000000
376 -22.0000000000
451 -9.0000000000
548 -4.0000000000
609 -2.0000000000
667 3.0000000000
706 5.0000000000
1749 6.0000000000
5011 5.0000000000
evaluations raw_y
1 -463.0000000000
2 -349.0000000000
4 -295.0000000000
15 -282.0000000000
24 -275.0000000000
26 -261.0000000000
44 -248.0000000000
66 -207.0000000000
88 -182.0000000000
101 -181.0000000000
115 -141.0000000000
181 -135.0000000000
208 -134.0000000000
218 -114.0000000000
275 -101.0000000000
277 -93.0000000000
312 -81.0000000000
389 -75.0000000000
392 -42.0000000000
434 -41.0000000000
441 -35.0000000000
482 -23.0000000000
575 -15.0000000000
607 -3.0000000000
810 2.0000000000
846 3.0000000000
965 5.0000000000
1695 6.0000000000
5011 -14.0000000000
evaluations raw_y
1 -262.0000000000
12 -215.0000000000
16 -201.0000000000
59 -181.0000000000
63 -168.0000000000
143 -161.0000000000
169 -127.0000000000
180 -88.0000000000
291 -75.0000000000
349 -55.0000000000
353 -49.0000000000
374 -35.0000000000
444 -15.0000000000
509 -9.0000000000
539 -4.0000000000
571 3.0000000000
680 4.0000000000
1002 5.0000000000
1150 6.0000000000
1608 7.0000000000
5011 -54.0000000000
evaluations raw_y
1 -315.0000000000
14 -262.0000000000
21 -234.0000000000
60 -174.0000000000
153 -147.0000000000
193 -128.0000000000
197 -121.0000000000
232 -101.0000000000
248 -55.0000000000
368 -35.0000000000
483 -28.0000000000
545 -27.0000000000
567 -15.0000000000
586 -8.0000000000
663 -3.0000000000
714 3.0000000000
833 4.0000000000
1342 5.0000000000
2249 6.0000000000
5011 6.0000000000
evaluations raw_y
1 -511.0000000000
2 -302.0000000000
55 -214.0000000000
86 -188.0000000000
94 -141.0000000000
178 -108.0000000000
233 -101.0000000000
290 -88.0000000000
338 -62.0000000000
376 -55.0000000000
379 -42.0000000000
406 -35.0000000000
510 -24.0000000000
528 -22.0000000000
532 -18.0000000000
542 -16.0000000000
589 -11.0000000000
668 -4.0000000000
702 -3.0000000000
756 3.0000000000
935 4.0000000000
1274 5.0000000000
1461 6.0000000000
5011 -7.0000000000
evaluations raw_y
1 -403.0000000000
2 -356.0000000000
3 -215.0000000000
56 -195.0000000000
97 -141.0000000000
194 -101.0000000000
276 -87.0000000000
301 -48.0000000000
418 -41.0000000000
454 -28.0000000000
494 -27.0000000000
525 3.0000000000
726 4.0000000000
762 5.0000000000
1693 6.0000000000
5011 6.0000000000
