evaluations raw_y
1 0.9405568096
3 1.1478420569
6 1.6778523490
10 1.9747235387
49 2.0259319287
240 2.1663778163
512 2.2281639929
593 2.4366471735
1944 2.8868360277
3037 2.9976019185
3952 3.2467532468
4886 3.5410764873
4937 3.6231884058
5011 2.0259319287
evaluations raw_y
1 1.0766580534
4 1.6087516088
29 1.8355359765
116 1.9260400616
250 2.0000000000
270 2.3629489603
900 2.7352297593
2214 2.7839643653
2244 3.3875338753
2300 3.7091988131
3948 3.8940809969
4214 4.7169811321
5011 2.5987525988
evaluations raw_y
1 1.4723203769
17 1.7146776406
29 2.1968365554
31 2.3992322457
357 2.7352297593
996 2.7839643653
1259 2.9411764706
2394 3.5410764873
3637 3.6231884058
5011 3.6231884058
evaluations raw_y
1 0.8305647841
2 1.4450867052
4 1.5605493134
5 1.7934002869
20 2.0798668885
130 2.2603978300
403 2.3277467412
817 2.3992322457
905 2.4752475248
1857 2.5150905433
1976 2.6427061311
2246 2.7839643653
2311 3.1806615776
3025 3.2467532468
3846 3.3156498674
4202 3.3875338753
4453 3.6231884058
5011 2.6427061311
evaluations raw_y
1 0.9697439876
2 0.9944311854
4 1.7337031900
13 1.7730496454
49 1.9260400616
174 2.1079258010
562 2.2281639929
849 2.6427061311
2970 2.6881720430
3338 2.7839643653
3372 2.8344671202
3693 2.9976019185
3695 3.2467532468
5011 2.4366471735
evaluations raw_y
1 0.9462528388
3 1.3340448239
6 1.4060742407
9 1.8573551263
31 1.9025875190
53 2.1367521368
303 2.2603978300
462 2.5987525988
1400 2.6881720430
1473 2.7839643653
2632 3.2467532468
3623 3.5410764873
3845 3.7091988131
4423 4.0983606557
5011 2.1367521368
evaluations raw_y
1 1.1312217195
2 1.2291052114
3 1.3116474292
12 1.3935340022
27 2.0000000000
198 2.1079258010
315 2.3629489603
387 2.3992322457
514 2.4366471735
799 2.5987525988
943 2.9411764706
2177 2.9976019185
2470 3.1172069825
2582 3.1806615776
2594 3.6231884058
3234 3.7993920973
3461 3.8940809969
3476 3.9936102236
3689 4.4483985765
5011 2.8344671202
evaluations raw_y
1 0.9944311854
2 1.3812154696
12 1.3935340022
13 1.8142235123
21 1.8355359765
82 2.4366471735
284 2.4752475248
286 2.7352297593
2037 2.7839643653
2229 2.8868360277
2352 3.1806615776
2860 3.5410764873
3432 3.7091988131
4276 4.0983606557
5011 1.0917030568
evaluations raw_y
1 1.4060742407
2 1.8355359765
43 1.9500780031
176 2.0525451560
246 2.1663778163
327 2.2603978300
788 2.3992322457
1638 2.6427061311
